longitude,latitude,height_sea_level_m,height_geometric_m,gravity_mgal,gravity_disturbance_mgal,gravity_bouguer_mgal
27.49367,-26.83383,1428.0,1457.2071218572873,978685.19,49.32252623059321,-112.71655965674975
27.50166,-26.31,1520.6,1547.7406392839196,978584.11,14.010548254940659,-158.47165143692135
27.50166,-26.27167,1544.1,1571.0780298942423,978571.31,11.15773627127055,-163.61220601536087
27.50166,-26.23666,1594.7,1621.5357197913838,978557.32,15.239871735335328,-163.36678998683067
27.50333,-26.75166,1537.0,1565.9963816152688,978658.26,61.92109365412034,-106.003398470783
27.50616,-26.94318,1459.0,1488.377545849477,978672.01,37.79320096853189,-127.74644365739093
27.50833,-26.625,1483.1,1511.607325502375,978653.09,49.1516545873601,-117.72058698018586
27.51334,-26.88,1428.0,1457.2853258400758,978666.09,26.886529722250998,-134.0720221261011
27.52333,-26.31833,1525.8,1552.9802506438257,978583.41,14.32914527261164,-158.4038712183501
27.5235,-26.72301,1460.0,1488.894108689385,978675.06,57.01606179762166,-106.76374011956273
27.52667,-26.42667,1580.1,1607.754782477247,978598.91,38.9398204816971,-139.89488828318005
27.53,-26.16,1557.2,1583.7456558136662,978554.72,6.466176453279331,-169.28757118574416
27.53467,-26.7715,1473.0,1502.0496612529166,978665.93,48.42522023036145,-118.53075431193986
27.535,-26.99333,1475.0,1504.4339448847593,978673.97,41.04593018931337,-126.3730567983358
27.53833,-26.48167,1474.9,1502.7803543839348,978627.4,31.087822763831355,-135.0056550998272
27.54668,-26.37,1569.7,1597.109759795151,978588.11,28.931355593609624,-148.09030272209174
27.55,-26.39,1581.3,1608.799542376118,978587.31,30.299705364042893,-145.2843107077178
27.55167,-26.35001,1559.0,1586.3167995993012,978587.61,26.538134790956974,-148.93469672725377
27.55167,-26.62334,1489.5,1518.0198893510765,978650.09,48.249831350753084,-120.28396184073912
27.55167,-26.49333,1502.0,1529.9293237570298,978626.6,37.82208376843482,-131.94149041263103
27.55333,-26.40668,1602.3,1629.871639409291,978588.51,36.80010973231401,-143.57326369464823
27.55667,-26.19167,1634.0,1660.666322386756,978545.02,18.229218375403434,-166.87445782421756
27.55766,-26.94167,1446.0,1475.3751485417308,978665.46,27.342428607982583,-136.29685488841704
27.56133,-26.873,1476.0,1505.2695174002226,978670.47,46.578149400884286,-117.77872317550654
27.56332,-26.87334,1477.7,1506.9702358286563,978660.29,36.89801768690813,-127.81314900176781
27.565,-26.27834,1627.6,1654.604944994028,978562.41,27.54435557301622,-154.2950855617077
27.56633,-26.8255,1444.0,1473.18070495499,978674.29,43.9558269828558,-120.05410746446975
27.58051,-26.72083,1441.0,1469.8481500814482,978672.07,48.30893815786112,-115.73338544431556
27.58167,-26.48666,1532.5,1560.4084644840784,978619.0,40.10472649161238,-133.11949451607688
27.58501,-26.73833,1435.0,1463.903303540659,978679.58,52.715671725571156,-110.01163572040491
27.58633,-26.77451,1412.0,1441.0323488685724,978681.35,44.80419663270004,-113.78577539679887
27.58667,-26.01833,1509.4,1535.4741835143736,978585.21,32.16886779270135,-138.84114785375948
27.59167,-26.13333,1595.3,1621.748094397288,978550.42,15.793377485824749,-164.65998075952473
27.59332,-26.26666,1591.7,1618.6588456131965,978567.51,22.39364291029051,-157.91438775599727
27.5965,-26.98849,1475.0,1504.4315889509874,978660.62,28.048657949548215,-139.7238281265228
27.60001,-26.86501,1491.4,1520.6590301116971,978667.48,48.917031949269585,-119.30382995635881
27.60667,-26.23833,1675.5,1702.3467362966514,978548.72,31.446672451216727,-155.09431304995624
27.61667,-26.47166,1527.3,1555.157407092872,978618.4,38.96590497670695,-134.1555814837086
27.63,-26.45833,1549.0,1576.79972230282,978612.4,40.60205332364421,-135.14309010446928
27.63167,-26.44501,1582.5,1610.2323854965448,978603.5,42.973925951635465,-135.2093295037002
27.63167,-26.42332,1605.7,1633.3262037431596,978596.41,44.568585607921705,-137.25688232446984
27.63167,-26.21832,1706.6,1733.3648483801226,978541.62,35.346424733288586,-157.01906946362865
27.63499,-26.84167,1431.0,1460.206559512149,978673.08,37.567496977513656,-123.15796999323936
27.63699,-26.71533,1462.0,1490.7922085348105,978665.44,48.5385185246123,-109.33725744027524
27.63834,-26.40668,1647.7,1675.2534233500264,978585.21,47.49825718009379,-135.91492116742285
27.64166,-26.05833,1582.5,1608.7006401420333,978568.11,34.80823173432145,-144.05693914059077
27.64333,-26.08167,1578.2,1604.4784414797855,978567.11,30.8422595144948,-148.10536419125555
27.64867,-26.82217,1469.0,1498.1365154540056,978670.99,48.59620384965092,-117.06577891269865
27.65167,-26.38834,1669.7,1697.1731059071994,978577.11,47.47814113739878,-140.49193421982426
27.66333,-26.205,1681.6,1708.3137269365209,978547.32,34.27261151489802,-154.4355764818508
